s,a,t,b
0,62,0,0
0,62,0,0
0,62,0,0
0,62,0,0
0,62,0,0
0,62,0,0
0,62,0,0
0,62,0,0
0,62,0,0
0,62,0,0
0,69,0,0
0,69,0,0
0,69,0,0
0,69,0,0
0,69,0,0
0,69,0,0
0,69,0,0
0,69,0,0
0,69,0,0
0,69,0,0
0,65,0,0
0,65,0,0
0,65,0,0
0,65,0,0
0,65,0,0
0,65,0,0
0,65,0,0
0,65,0,0
0,65,0,0
0,62,0,0
0,62,0,0
0,62,0,0
0,62,0,0
0,62,0,0
0,62,0,0
0,62,0,0
0,62,0,0
0,62,0,0
0,62,0,0
0,61,0,0
0,61,0,0
0,61,0,0
0,61,0,0
0,61,0,0
0,61,0,0
0,61,0,0
0,61,0,0
0,61,0,0
0,62,0,0
0,62,0,0
0,62,0,0
0,62,0,0
0,62,0,0
0,64,0,0
0,64,0,0
0,64,0,0
0,64,0,0
0,64,0,0
0,65,0,0
0,65,0,0
0,65,0,0
0,65,0,0
0,65,0,0
0,65,0,0
0,65,0,0
0,65,0,0
0,65,0,0
0,65,0,0
0,65,0,0
0,65,0,0
0,67,0,0
0,67,0,0
0,65,0,0
0,65,0,0
0,65,0,0
0,64,0,0
0,64,0,0
69,62,0,0
69,62,0,0
69,62,0,0
69,62,0,0
69,62,0,0
69,64,0,0
69,64,0,0
69,64,0,0
69,64,0,0
69,64,0,0
74,65,0,0
74,65,0,0
74,65,0,0
74,65,0,0
74,65,0,0
74,67,0,0
74,67,0,0
74,67,0,0
74,67,0,0
72,69,0,0
72,69,0,0
72,69,0,0
72,69,0,0
72,69,0,0
72,57,0,0
72,57,0,0
72,57,0,0
72,59,0,0
72,59,0,0
69,60,0,0
69,60,0,0
69,57,0,0
69,57,0,0
69,57,0,0
69,65,0,0
69,65,0,0
69,65,0,0
69,65,0,0
69,65,0,0
68,65,0,0
68,65,0,0
68,59,0,0
68,59,0,0
68,64,0,0
68,64,0,0
68,64,0,0
68,64,0,0
68,64,0,0
69,64,0,0
69,64,0,0
69,64,0,0
69,65,0,0
69,65,0,0
71,64,0,0
71,64,0,0
71,62,0,0
71,62,0,0
71,62,0,0
72,64,0,0
72,64,0,0
72,64,0,0
72,64,0,0
72,64,0,0
72,66,0,0
72,66,0,0
72,66,0,0
72,66,0,0
72,67,0,0
72,67,0,0
72,67,0,0
74,67,0,0
74,67,0,0
72,67,0,0
72,67,0,0
72,67,0,0
70,67,0,0
70,67,0,0
69,67,0,50
69,67,0,50
62,67,0,50
62,67,0,50
62,67,0,50
74,65,0,50
74,65,0,50
74,65,0,50
74,65,0,50
74,65,0,50
74,64,0,57
74,64,0,57
74,64,0,57
74,64,0,57
73,64,0,57
73,64,0,57
73,64,0,57
73,64,0,57
73,64,0,57
